Title	URL	Assignees	Status	Real Time Spent (hr)	Time Estimate (hr)
Extract hardcoded strings from remaining screens (i18next)	https://github.com/KnightDrone/Knight/issues/107	alexp34	In Development		16
As an operator, I would like to see the pending orders marked on the map	https://github.com/KnightDrone/Knight/issues/143	Tiberiu02	Done In Sprint #7	32	32
As a user, I would like to search for a specific Order within my OrderHistory	https://github.com/KnightDrone/Knight/issues/145	yperez-ZzzZz	Done In Sprint #7	8	8
Add filter buttons & tools to PendingOrders	https://github.com/KnightDrone/Knight/issues/153	yperez-ZzzZz	Done In Sprint #7	8	8
As an operator, I would like to filter the PendingOrders	https://github.com/KnightDrone/Knight/issues/144	yperez-ZzzZz	Done In Sprint #7	8	8
Add search bar to the top of OrderHistory screen	https://github.com/KnightDrone/Knight/issues/152	yperez-ZzzZz	Done In Sprint #7	8	8
User backend	https://github.com/KnightDrone/Knight/issues/162	zak-2213	Done In Sprint #7	15	16
Operator map	https://github.com/KnightDrone/Knight/issues/170	Tiberiu02	Done In Sprint #7	16	16
Fix text field auto-complete background color	https://github.com/KnightDrone/Knight/issues/194	Tiberiu02	Done In Sprint #7	5	5
DrawerNavigation	https://github.com/KnightDrone/Knight/issues/215	EduardoNeville	Done In Sprint #7	20	22
offline - remember sign in	https://github.com/KnightDrone/Knight/issues/178	yperez-ZzzZz	Done In Sprint #8	4	4
get started with PRD	https://github.com/KnightDrone/Knight/issues/179	yperez-ZzzZz	Done In Sprint #8	12	12
Fixed Navigation to OrderHistory	https://github.com/KnightDrone/Knight/issues/213	yperez-ZzzZz	Done In Sprint #8	1	1
Fixed PendingOrders & OderHistory UI when displaying large amount of Orders	https://github.com/KnightDrone/Knight/issues/212	yperez-ZzzZz	Done In Sprint #8	1	1
As an operator, I would like to reject an order	https://github.com/KnightDrone/Knight/issues/69	EduardoNeville	Done In Sprint #8		15
As an operator, I would like to accept an order	https://github.com/KnightDrone/Knight/issues/68	EduardoNeville	Done In Sprint #8		15
Operator sign up/sign in	https://github.com/KnightDrone/Knight/issues/131	kalil0321	Done In Sprint #8		10
As an operator, I would like to log in	https://github.com/KnightDrone/Knight/issues/158		Done In Sprint #8		4
Operator login	https://github.com/KnightDrone/Knight/issues/214		Done In Sprint #8	4	4
Linking pending/accepting orders	https://github.com/KnightDrone/Knight/issues/163	zak-2213	Done In Sprint #8	10	8
Address SonarCloud issues	https://github.com/KnightDrone/Knight/issues/132	Tiberiu02	In Review		16
Improve log in & sign up pages	https://github.com/KnightDrone/Knight/issues/89	alexp34	In Development		16
As an operator, I would like to see previous orders I handled	https://github.com/KnightDrone/Knight/issues/66	yperez-ZzzZz	Sprint Backlog		4
As a user, I would like to log in using my username instead of email	https://github.com/KnightDrone/Knight/issues/83	zak-2213	Sprint Backlog		8
Integrating DJI drone API	https://github.com/KnightDrone/Knight/issues/180	harismalik-1, kalil0321	In Development		128
As a user, I would like to have some docs when I'm offline	https://github.com/KnightDrone/Knight/issues/196	alexp34, harismalik-1, kalil0321, Tiberiu02	Sprint Backlog		4
